Radial Distance r (a.u.),Computed Wavefunction
3.705,0.004295142711298758
3.71,0.00426530451383112
3.715,0.004235676124735825
3.72,0.0042062560447839546
3.725,0.004177042785695249
3.73,0.004148034870055913
3.735,0.004119230831236605
3.74,0.004090629213311404
3.745,0.004062228570977759
3.75,0.0040340274694759815
3.755,0.0040060244845106655
3.7600000000000002,0.003978218202171741
3.765,0.003950607218856685
3.77,0.0039231901411931605
3.775,0.00389596558596216
3.7800000000000002,0.0038689321800219915
3.785,0.0038420885602326554
3.79,0.003815433373380841
3.795,0.0037889652761056106
3.8000000000000003,0.003762682934824593
3.805,0.00373658502566069
3.81,0.0037106702343695235
3.815,0.003684937256267255
3.8200000000000003,0.0036593847961590817
3.825,0.003634011568268261
3.83,0.0036088162961657125
3.835,0.003583797712700117
3.84,0.003558954559928569
3.845,0.003534285589047813
3.85,0.0035097895603259546
3.855,0.003485465243034746
3.86,0.003461311415382351
3.865,0.0034373268644467382
3.87,0.0034135103861093856
3.875,0.0033898607849897223
3.88,0.0033663768743799356
3.8850000000000002,0.0033430574761803412
3.89,0.003319901420835253
3.895,0.0032969075472692767
3.9,0.003274074702824212
3.9050000000000002,0.0032514017431963236
3.91,0.003228887532374278
3.915,0.003206530942577256
3.92,0.0031843308541938523
3.9250000000000003,0.003162286155721275
3.93,0.003140395743705107
3.935,0.003118658522679359
3.94,0.0030970734051072642
3.9450000000000003,0.0030756393113222256
3.95,0.003054355169469497
3.955,0.0030332199154480205
3.96,0.0030122324928530406
3.9650000000000003,0.002991391852918878
3.97,0.0029706969544622524
3.975,0.0029501467638261493
3.98,0.002929740254823866
3.985,0.002909476408683731
3.99,0.002889354213994121
3.995,0.002869372666648905
4.0,0.0028495307697933643
4.005,0.002829827533770486
4.01,0.0028102619760676222
4.015,0.0027908331212637217
4.0200000000000005,0.002771540000976733
4.025,0.002752381653811579
4.03,0.002733357125308506
4.035,0.002714465467891768
4.04,0.002695705740818763
4.045,0.0026770770101295057
4.05,0.0026585783485965323
4.055,0.0026402088356752024
4.0600000000000005,0.0026219675574542353
4.065,0.0026038536066068964
4.07,0.0025858660823422567
4.075,0.002568004090357038
4.08,0.002550266742787746
4.085,0.0025326531581631386
4.09,0.002515162461357103
4.095,0.0024977937835419144
4.1,0.0024805462621417572
4.105,0.0024634190407867265
4.11,0.002446411269267029
4.115,0.0024295221034876927
4.12,0.0024127507054234865
4.125,0.0023960962430742815
4.13,0.002379557890420667
4.135,0.0023631348273799703
4.14,0.0023468262397626106
4.1450000000000005,0.002330631319228695
4.15,0.002314549263245069
4.155,0.0022985792750425675
4.16,0.0022827205635737673
4.165,0.002266972343470792
4.17,0.0022513338350037097
4.175,0.002235804264039102
4.18,0.0022203828619989565
4.1850000000000005,0.00220506886581986
4.19,0.0021898615179126086
4.195,0.0021747600661219204
4.2,0.002159763763686744
4.205,0.00214487186920053
4.21,0.002130083646572031
4.215,0.002115398364986394
4.22,0.0021008152988664245
4.225,0.0020863337278342205
4.23,0.002071952936673082
4.235,0.0020576722152897313
4.24,0.0020434908586767927
4.245,0.0020294081668755545
4.25,0.0020154234449389755
4.255,0.0020015360028950717
4.26,0.00198774515571052
4.265,0.001974050223254506
4.2700000000000005,0.001960450530262824
4.275,0.001946945406302434
4.28,0.001933534185736025
4.285,0.0019202162076870128
4.29,0.0019069908160047433
4.295,0.0018938573592299837
4.3,0.0018808151905606598
4.305,0.0018678636678178928
4.3100000000000005,0.0018550021534121006
4.315,0.0018422300143096824
4.32,0.001829546621999684
4.325,0.0018169513524607845
4.33,0.0018044435861286087
4.335,0.0017920227078631712
4.34,0.001779688106916657
4.345,0.0017674391769013763
4.3500000000000005,0.001755275315758013
